Reaction,temperature,pressure,M,k,ln_unc_k,W,Ref,
2 OH <=> H2O + O,1615,0,0,2.28E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1683,0,0,2.81E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1843,0,0,3.24E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1899,0,0,2.35E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1933,0,0,3.13E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1935,0,0,3.27E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1954,0,0,2.12E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1983,0,0,3.14E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1997,0,0,2.58E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,2001,0,0,3.52E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,2031,0,0,3.02E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,2033,0,0,2.94E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1534,0,0,2.52E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1627,0,0,1.58E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1690,0,0,1.74E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1694,0,0,2.41E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1744,0,0,2.23E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1775,0,0,1.62E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1852,0,0,3.13E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1887,0,0,4.05E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1897,0,0,2.93E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1975,0,0,2.24E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1995,0,0,3.16E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,2010,0,0,2.42E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1623,0,0,1.56E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1757,0,0,1.82E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1890,0,0,3.13E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,2016,0,0,2.16E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1698,0,0,2.08E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1704,0,0,2.17E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1743,0,0,2.42E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1767,0,0,2.57E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1773,0,0,2.55E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1778,0,0,2.31E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1805,0,0,2.85E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1828,0,0,3.11E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1835,0,0,2.92E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1840,0,0,2.74E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1854,0,0,3.18E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1986,0,0,2.17E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1573,0,0,1.62E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1587,0,0,1.42E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1589,0,0,1.59E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1626,0,0,1.98E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1665,0,0,1.78E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1682,0,0,2.10E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1707,0,0,2.10E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1337,0,0,2.08E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1378,0,0,1.99E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1416,0,0,2.09E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1448,0,0,2.10E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1454,0,0,2.31E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1470,0,0,2.28E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1471,0,0,2.37E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1474,0,0,2.23E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1487,0,0,2.43E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1566,0,0,1.78E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1593,0,0,1.63E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1597,0,0,1.61E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1668,0,0,1.62E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1719,0,0,1.60E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1434,0,0,2.24E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1288,0,0,1.79E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1315,0,0,1.81E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1336,0,0,1.13E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1341,0,0,1.24E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1355,0,0,1.58E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1367,0,0,1.77E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1416,0,0,2.37E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1429,0,0,1.88E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1438,0,0,1.61E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1448,0,0,2.68E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1514,0,0,2.60E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1375,0,0,2.41E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1456,0,0,2.51E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1506,0,0,1.74E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1520,0,0,1.17E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1589,0,0,1.46E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1385,0,0,1.85E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1429,0,0,1.76E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1438,0,0,1.60E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1457,0,0,1.48E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1460,0,0,1.48E+12,0.693147181,0.098058068,,
2 OH <=> H2O + O,1577,0.021013158,0,2.94E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1500,0.020776316,0,3.91E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1551,0.020881579,0,3.38E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1702,0.020947368,0,3.01E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1550,0.021026316,0,3.63E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1531,0.020934211,0,4.08E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1522,0.020907895,0,4.33E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1542,0.020947368,0,3.39E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1695,0.020934211,0,2.75E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1660,0.020947368,0,3.91E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1701,0.020881579,0,3.77E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1685,0.020868421,0,4.49E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1858,0.020842105,0,3.76E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1823,0.020947368,0,3.28E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1867,0.020815789,0,3.61E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1722,0.020947368,0,3.68E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1600,0.021,0,3.19E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1570,0.020842105,0,3.18E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1627,0.021013158,0,3.23E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1635,0.020947368,0,3.19E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1594,0.021026316,0,3.90E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1595,0.020802632,0,3.76E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1551,0.020947368,0,3.84E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1789,0.021,0,4.22E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1686,0.020855263,0,3.31E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1853,0.020894737,0,3.38E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,2119,0.020868421,0,3.99E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,2000,0.020907895,0,4.10E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,2369,0.020921053,0,4.27E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,2113,0.020960526,0,4.37E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1995,0.021026316,0,3.44E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,2117,0.020921053,0,3.52E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,2320,0.020907895,0,4.04E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,2092,0.020881579,0,3.74E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,2265,0.020894737,0,4.59E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,2307,0.021,0,4.14E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1832,0.020960526,0,2.74E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1819,0.020855263,0,3.04E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1945,0.020855263,0,4.74E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1789,0.020868421,0,5.00E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1894,0.020881579,0,4.24E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1813,0.020815789,0,4.82E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,2018,0.020842105,0,2.75E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,2105,0.020828947,0,4.15E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,2070,0.020881579,0,5.19E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,2165,0.020657895,0,5.52E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,2221,0.020828947,0,6.30E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1978,0.020907895,0,4.80E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1932,0.020776316,0,5.44E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1778,0.020684211,0,4.24E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1735,0.020907895,0,4.27E+12,0.693147181,0.140028008,,
2 OH <=> H2O + O,1940,0.020907895,0,3.99E+12,0.693147181,0.277350098,,
2 OH <=> H2O + O,1972,0.021,0,5.45E+12,0.693147181,0.277350098,,
2 OH <=> H2O + O,2204,0.020855263,0,4.02E+12,0.693147181,0.277350098,,
2 OH <=> H2O + O,2093,0.021013158,0,4.06E+12,0.693147181,0.277350098,,
2 OH <=> H2O + O,2015,0.020855263,0,5.52E+12,0.693147181,0.277350098,,
2 OH <=> H2O + O,2099,0.020894737,0,4.51E+12,0.693147181,0.277350098,,
2 OH <=> H2O + O,2186,0.020947368,0,4.62E+12,0.693147181,0.277350098,,
2 OH <=> H2O + O,2037,0.020828947,0,3.27E+12,0.693147181,0.277350098,,
2 OH <=> H2O + O,2095,0.019776316,0,4.61E+12,0.693147181,0.277350098,,
2 OH <=> H2O + O,2118,0.020934211,0,3.60E+12,0.693147181,0.277350098,,
2 OH <=> H2O + O,2080,0.020868421,0,4.67E+12,0.693147181,0.277350098,,
2 OH <=> H2O + O,2061,0.020947368,0,4.34E+12,0.693147181,0.277350098,,
2 OH <=> H2O + O,2231,0.020934211,0,4.77E+12,0.693147181,0.277350098,,
2 OH <=> H2O + O,293,0,0,1.63E+12,0.693147181,0.577350269,,
2 OH <=> H2O + O,347,0,0,1.20E+12,0.693147181,0.577350269,,
2 OH <=> H2O + O,373,0,0,1.35E+12,0.693147181,0.577350269,,
HO2 + OH <=>*,308,0,0,5.96E+13,0.693147181,1,,
HO2 + OH <=>*,298,0,0,7.53E+13,0.693147181,1,,
HO2 + OH <=>*,298,0,0,7.23E+13,0.693147181,1,,
HO2 + OH <=>*,308,0,0,5.96E+13,0.693147181,1,,
HO2 + OH <=>*,296,0,0,9.03E+13,0.693147181,1,,
HO2 + OH <=>*,298,0,0,6.62E+13,0.693147181,1,,
HO2 + OH <=>*,254,0,0,7.71E+13,0.693147181,0.354,,
HO2 + OH <=>*,273,0,0,7.53E+13,0.693147181,0.354,,
HO2 + OH <=>*,294,0,0,5.96E+13,0.693147181,0.354,,
HO2 + OH <=>*,299,0,0,6.62E+13,0.693147181,0.354,,
HO2 + OH <=>*,299,0,0,6.26E+13,0.693147181,0.354,,
HO2 + OH <=>*,299,0,0,6.68E+13,0.693147181,0.354,,
HO2 + OH <=>*,340,0,0,6.02E+13,0.693147181,0.354,,
HO2 + OH <=>*,382,0,0,5.60E+13,0.693147181,0.354,,
HO2 + OH <=>*,968,3.59,0,7.96E+12,2.302585093,1.00E-10,,
HO2 + OH <=>*,1015,3.3,0,9.63E+12,2.302585093,1.00E-10,,
HO2 + OH <=>*,1079,3.44,0,1.14E+13,2.302585093,1.00E-10,,
HO2 + OH <=>*,1132,3.55,0,1.83E+13,2.302585093,1.00E-10,,
HO2 + OH <=>*,1218,3.04,0,2.66E+13,2.302585093,1.00E-10,,
HO2 + OH <=>*,1407,0,0,4.52E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1449,0,0,1.99E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1416,0,0,5.42E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1502,0,0,4.82E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1299,0,0,3.61E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1461,0,0,3.61E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1237,0,0,5.42E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1486,0,0,6.02E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1421,0,0,2.41E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1482,0,0,5.72E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1300,0,0,7.53E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1423,0,0,5.60E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1393,0,0,2.41E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1462,0,0,2.29E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1418,0,0,5.42E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1357,0,0,4.82E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1533,0,0,2.83E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1511,0,0,3.61E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1435,0,0,1.81E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1554,0,0,5.12E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1473,0,0,3.19E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1254,0,0,3.73E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1340,0,0,2.41E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,1242,0,0,2.41E+13,1.425515074,1.00E-10,,
HO2 + OH <=>*,2117.299672,0,0,3.58E+13,0.2390169,1.00E-10,,
HO2 + OH <=>*,2069.960526,0,0,3.16E+13,0.2390169,1.00E-10,,
HO2 + OH <=>*,2017.57469,0,0,3.47E+13,0.2390169,1.00E-10,,
HO2 + OH <=>*,1938.534123,0,0,3.14E+13,0.2390169,1.00E-10,,
HO2 + OH <=>*,1913.971205,0,0,3.14E+13,0.2390169,1.00E-10,,
HO2 + OH <=>*,1880.118034,0,0,2.96E+13,0.2390169,1.00E-10,,
HO2 + OH <=>*,1797.68171,0,0,3.24E+13,0.2390169,1.00E-10,,
HO2 + OH <=>*,1763.441391,0,0,3.28E+13,0.2390169,1.00E-10,,
HO2 + OH <=>*,1697.723692,0,0,2.88E+13,0.2390169,1.00E-10,,
HO2 + OH <=>*,1657.522667,0,0,3.26E+13,0.2390169,1.00E-10,,
HO2 + OH <=>*,1591.350691,0,0,3.39E+13,0.2390169,1.00E-10,,
2 HO2 <=> H2O2 + O2,298,0,0,2.20E+12,0.224235851,1.00E-10,,
2 HO2 <=> H2O2 + O2,317,0,0,1.92E+12,0.135102485,1.00E-10,,
2 HO2 <=> H2O2 + O2,330,0,0,1.98E+12,0.11506933,1.00E-10,,
2 HO2 <=> H2O2 + O2,345,0,0,1.45E+12,0.048790164,1.00E-10,,
2 HO2 <=> H2O2 + O2,358,0,0,1.64E+12,0.14359092,1.00E-10,,
2 HO2 <=> H2O2 + O2,380,0,0,1.14E+12,0.173510927,1.00E-10,,
2 HO2 <=> H2O2 + O2,407,0,0,1.15E+12,0.060932551,1.00E-10,,
2 HO2 <=> H2O2 + O2,425,0,0,1.11E+12,0.383486201,1.00E-10,,
2 HO2 <=> H2O2 + O2,455,0,0,1.22E+12,0.137832475,1.00E-10,,
2 HO2 <=> H2O2 + O2,510,0,0,6.50E+11,0.259511195,1.00E-10,,
2 HO2 <=> H2O2 + O2,298,0,0,2.00E+12,0.262364264,0.0001,,
2 HO2 <=> H2O2 + O2,418,0,0,9.00E+11,0.262364264,0.0001,,
2 HO2 <=> H2O2 + O2,577,0,0,5.27E+11,0.262364264,0.0001,,
2 HO2 <=> H2O2 + O2,623,0,0,4.90E+11,0.262364264,0.0001,,
2 HO2 <=> H2O2 + O2,677,0,0,4.95E+11,0.262364264,0.0001,,
2 HO2 <=> H2O2 + O2,723,0,0,4.57E+11,0.262364264,0.0001,,
2 HO2 <=> H2O2 + O2,777,0,0,5.42E+11,0.262364264,0.0001,,
2 HO2 <=> H2O2 + O2,786.6025848,0,0,4.47E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,794.4641736,0,0,5.62E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,806.8713161,0,0,5.76E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,806.8713161,0,0,7.52E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,802.485136,0,0,7.40E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,826.2257265,0,0,5.74E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,841.0202585,0,0,5.71E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,841.0202585,0,0,5.94E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,840.3361345,0,0,8.18E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,877.4415909,0,0,7.63E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,877.4415909,0,0,8.39E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,917.1594106,0,0,6.66E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,913.1077531,0,0,9.60E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,898.810963,0,0,1.17E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,930.3718976,0,0,9.90E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,943.1088451,0,0,6.60E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,979.7725948,0,0,9.32E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,979.7725948,0,0,1.26E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,980.7027127,0,0,1.28E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,990.0990099,0,0,1.28E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,969.6593587,0,0,1.37E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,1037.831016,0,0,1.28E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,1042.017262,0,0,1.87E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,1027.510568,0,0,1.97E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,1073.407091,0,0,1.48E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,1086.956522,0,0,2.69E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,959.7527677,0,0,9.90E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,966.9365709,0,0,1.13E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,979.7725948,0,0,9.46E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,998.711662,0,0,9.90E+11,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,991.9995238,0,0,1.09E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,1028.533579,0,0,1.30E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,1032.645007,0,0,1.50E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,1050.491893,0,0,1.30E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,1006.493899,0,0,1.60E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,1012.410123,0,0,1.80E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,1005.51424,0,0,1.80E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,1020.408163,0,0,2.00E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,1056.938324,0,0,1.79E+12,0.693147181,0.0001,,
2 HO2 <=> H2O2 + O2,1053.705249,0,0,1.99E+12,0.693147181,0.0001,,
